name,affiliation,home_page,google_profile,keywords,most_cited_paper,cited_by,most_cited_year
Michael C Schmid,"University of Fribourg, Switzerland",Michael C Schmid,Michael C Schmid,Michael C Schmid,Michael C Schmid,Michael C Schmid,Michael C Schmid
Adrien Brilhault,"CerCo, CNRS",Adrien Brilhault,Adrien Brilhault,Adrien Brilhault,Adrien Brilhault,Adrien Brilhault,Adrien Brilhault
Gladys Barragan-Jason,"PhD, SETE, TMBI, Moulis",Gladys Barragan-Jason,Gladys Barragan-Jason,Gladys Barragan-Jason,Gladys Barragan-Jason,Gladys Barragan-Jason,Gladys Barragan-Jason
Michèle FabreThorpe,"CNRS Emeritus Research Director (DR1),CerCo (CNRS-UT3), TMBI (Univ. Toulouse)",Michèle FabreThorpe,Michèle FabreThorpe,Michèle FabreThorpe,Michèle FabreThorpe,Michèle FabreThorpe,Michèle FabreThorpe
PD Dr. Kathrin Ohla,"Firmenich, Corporate R&D",PD Dr. Kathrin Ohla,PD Dr. Kathrin Ohla,PD Dr. Kathrin Ohla,PD Dr. Kathrin Ohla,PD Dr. Kathrin Ohla,PD Dr. Kathrin Ohla
Pawan Sinha,"Professor of Visual Neuroscience, MIT",Pawan Sinha,Pawan Sinha,Pawan Sinha,Pawan Sinha,Pawan Sinha,Pawan Sinha
Yuri Ostrovsky,MIT,Yuri Ostrovsky,Yuri Ostrovsky,Yuri Ostrovsky,Yuri Ostrovsky,Yuri Ostrovsky,Yuri Ostrovsky
Leyla Isik,Johns Hopkins University,Leyla Isik,Leyla Isik,Leyla Isik,Leyla Isik,Leyla Isik,Leyla Isik
Christos Constantinidis,"Professor of Biomedical Engineering, Vanderbilt University",Christos Constantinidis,Christos Constantinidis,Christos Constantinidis,Christos Constantinidis,Christos Constantinidis,Christos Constantinidis
Doris Tsao,"Professor of Biology, California Institute of Technology",Doris Tsao,Doris Tsao,Doris Tsao,Doris Tsao,Doris Tsao,Doris Tsao
Mia Borzello,"University of California, San Diego",Mia Borzello,Mia Borzello,Mia Borzello,Mia Borzello,Mia Borzello,Mia Borzello
Satyandra K. Gupta,"Smith International Professor of Mechanical Engineering, University of Southern California",Satyandra K. Gupta,Satyandra K. Gupta,Satyandra K. Gupta,Satyandra K. Gupta,Satyandra K. Gupta,Satyandra K. Gupta
Wolfgang Losert,"Professor of Physics, University of Maryland College Park",Wolfgang Losert,Wolfgang Losert,Wolfgang Losert,Wolfgang Losert,Wolfgang Losert,Wolfgang Losert
Sagar Chowdhury,"Purdue University, West Lafayette, Indiana",Sagar Chowdhury,Sagar Chowdhury,Sagar Chowdhury,Sagar Chowdhury,Sagar Chowdhury,Sagar Chowdhury
Wei Guo,"Department of Industrial & Systems Engineering, University of Washington",Wei Guo,Wei Guo,Wei Guo,Wei Guo,Wei Guo,Wei Guo
Behnoosh Parsa,"PhD Student, Mechanical Engineering, University of Washington",Behnoosh Parsa,Behnoosh Parsa,Behnoosh Parsa,Behnoosh Parsa,Behnoosh Parsa,Behnoosh Parsa
Santosh Devasia,U of Washington,Santosh Devasia,Santosh Devasia,Santosh Devasia,Santosh Devasia,Santosh Devasia,Santosh Devasia
Jason Ryan,"PhD Candidate, MIT HAL Lab and Engineering Systems Division",Jason Ryan,Jason Ryan,Jason Ryan,Jason Ryan,Jason Ryan,Jason Ryan
M. Cummings,"Professor, Duke University",M. Cummings,M. Cummings,M. Cummings,M. Cummings,M. Cummings,M. Cummings
Linda Ng Boyle,"Professor of Industrial & Systems Engineering, Civil Engineering, U. Washington",Linda Ng Boyle,Linda Ng Boyle,Linda Ng Boyle,Linda Ng Boyle,Linda Ng Boyle,Linda Ng Boyle
Atul Thakur,"Associate Professor of Mechanical Engineering, Indian Institute of Technology Patna",Atul Thakur,Atul Thakur,Atul Thakur,Atul Thakur,Atul Thakur,Atul Thakur
Keshav Rajasekaran,Unknown affiliation,Keshav Rajasekaran,Keshav Rajasekaran,Keshav Rajasekaran,Keshav Rajasekaran,Keshav Rajasekaran,Keshav Rajasekaran
Ram Duvvuru Sriram,National Institute of Standards and Technology,Ram Duvvuru Sriram,Ram Duvvuru Sriram,Ram Duvvuru Sriram,Ram Duvvuru Sriram,Ram Duvvuru Sriram,Ram Duvvuru Sriram
Steven L. Brunton,"Professor, University of Washington",Steven L. Brunton,Steven L. Brunton,Steven L. Brunton,Steven L. Brunton,Steven L. Brunton,Steven L. Brunton
Krithika Manohar,"Assistant Professor, University of Washington",Krithika Manohar,Krithika Manohar,Krithika Manohar,Krithika Manohar,Krithika Manohar,Krithika Manohar
Jundi Liu,University of Washington,Jundi Liu,Jundi Liu,Jundi Liu,Jundi Liu,Jundi Liu,Jundi Liu
Falk Lieder,"Max Planck Institute for Intelligent Systems, Tübingen",Falk Lieder,Falk Lieder,Falk Lieder,Falk Lieder,Falk Lieder,Falk Lieder
Alison GOPNIK,"Professor of Psychology, Berkeley",Alison GOPNIK,Alison GOPNIK,Alison GOPNIK,Alison GOPNIK,Alison GOPNIK,Alison GOPNIK
Christopher G. Lucas,University of Edinburgh,Christopher G. Lucas,Christopher G. Lucas,Christopher G. Lucas,Christopher G. Lucas,Christopher G. Lucas,Christopher G. Lucas
Joshua C. Peterson,Princeton University,Joshua C. Peterson,Joshua C. Peterson,Joshua C. Peterson,Joshua C. Peterson,Joshua C. Peterson,Joshua C. Peterson
Adam Sanborn,"Professor, Department of Psychology, University of Warwick",Adam Sanborn,Adam Sanborn,Adam Sanborn,Adam Sanborn,Adam Sanborn,Adam Sanborn
Mike Kalish,Syracuse University,Mike Kalish,Mike Kalish,Mike Kalish,Mike Kalish,Mike Kalish,Mike Kalish
Joseph Austerweil,Associate Professor at University of Wisconsin-Madison,Joseph Austerweil,Joseph Austerweil,Joseph Austerweil,Joseph Austerweil,Joseph Austerweil,Joseph Austerweil
Frederick Callaway,"PhD student in Psychology, Princeton University",Frederick Callaway,Frederick Callaway,Frederick Callaway,Frederick Callaway,Frederick Callaway,Frederick Callaway
Anna Rafferty,"Assistant Professor, Carleton College",Anna Rafferty,Anna Rafferty,Anna Rafferty,Anna Rafferty,Anna Rafferty,Anna Rafferty
Sharon Goldwater,"School of Informatics, University of Edinburgh",Sharon Goldwater,Sharon Goldwater,Sharon Goldwater,Sharon Goldwater,Sharon Goldwater,Sharon Goldwater
Fei Xu (徐绯),"Professor of Psychology, UC Berkeley",Fei Xu (徐绯),Fei Xu (徐绯),Fei Xu (徐绯),Fei Xu (徐绯),Fei Xu (徐绯),Fei Xu (徐绯)
Danielle Navarro,Voltron Data,Danielle Navarro,Danielle Navarro,Danielle Navarro,Danielle Navarro,Danielle Navarro,Danielle Navarro
Erin Grant,"Ph.D. Candidate, University of California, Berkeley",Erin Grant,Erin Grant,Erin Grant,Erin Grant,Erin Grant,Erin Grant
Elizabeth Bonawitz,"Associate Faculty, Harvard University Graduate School of Education",Elizabeth Bonawitz,Elizabeth Bonawitz,Elizabeth Bonawitz,Elizabeth Bonawitz,Elizabeth Bonawitz,Elizabeth Bonawitz
Kevin Canini,Google,Kevin Canini,Kevin Canini,Kevin Canini,Kevin Canini,Kevin Canini,Kevin Canini
J. Kiley Hamlin,University of British Columbia,J. Kiley Hamlin,J. Kiley Hamlin,J. Kiley Hamlin,J. Kiley Hamlin,J. Kiley Hamlin,J. Kiley Hamlin
erin schuman,max planck institute for brain research,erin schuman,erin schuman,erin schuman,erin schuman,erin schuman,erin schuman
Alexander (Sasha) Kraskov,"Wellcome Trust Senior Research Fellow, Institute of Biosciences, Newcastle University",Alexander (Sasha) Kraskov,Alexander (Sasha) Kraskov,Alexander (Sasha) Kraskov,Alexander (Sasha) Kraskov,Alexander (Sasha) Kraskov,Alexander (Sasha) Kraskov
Chia-pei lin,Unknown affiliation,Chia-pei lin,Chia-pei lin,Chia-pei lin,Chia-pei lin,Chia-pei lin,Chia-pei lin
Andre Harrison,U.S. Army Research Laboratory,Andre Harrison,Andre Harrison,Andre Harrison,Andre Harrison,Andre Harrison,Andre Harrison
Joo Hwee Lim,"Head, Visual Computing Dept, I2R, A*STAR",Joo Hwee Lim,Joo Hwee Lim,Joo Hwee Lim,Joo Hwee Lim,Joo Hwee Lim,Joo Hwee Lim
Vijay Chandrasekhar,"IEEE Senior Member, R&D",Vijay Chandrasekhar,Vijay Chandrasekhar,Vijay Chandrasekhar,Vijay Chandrasekhar,Vijay Chandrasekhar,Vijay Chandrasekhar
Qianli Xu,Scientist (Institute for Infocomm Research),Qianli Xu,Qianli Xu,Qianli Xu,Qianli Xu,Qianli Xu,Qianli Xu
Bappaditya Mandal,"Lecturer in Computer Science, Keele University",Bappaditya Mandal,Bappaditya Mandal,Bappaditya Mandal,Bappaditya Mandal,Bappaditya Mandal,Bappaditya Mandal
Tian-Tsong Ng,A*STAR,Tian-Tsong Ng,Tian-Tsong Ng,Tian-Tsong Ng,Tian-Tsong Ng,Tian-Tsong Ng,Tian-Tsong Ng
Shaojing Fan,"School of Computing, National University of Singapore",Shaojing Fan,Shaojing Fan,Shaojing Fan,Shaojing Fan,Shaojing Fan,Shaojing Fan
Wu Min,"Senior Scientist, Institute for Infocomm Research",Wu Min,Wu Min,Wu Min,Wu Min,Wu Min,Wu Min
Dr Sepehr Jalali,University College London,Dr Sepehr Jalali,Dr Sepehr Jalali,Dr Sepehr Jalali,Dr Sepehr Jalali,Dr Sepehr Jalali,Dr Sepehr Jalali
Stéphane Lallée,Facebook,Stéphane Lallée,Stéphane Lallée,Stéphane Lallée,Stéphane Lallée,Stéphane Lallée,Stéphane Lallée
Ana García del Molino,ByteDance,Ana García del Molino,Ana García del Molino,Ana García del Molino,Ana García del Molino,Ana García del Molino,Ana García del Molino
Ah-Hwee Tan,Singapore Management University,Ah-Hwee Tan,Ah-Hwee Tan,Ah-Hwee Tan,Ah-Hwee Tan,Ah-Hwee Tan,Ah-Hwee Tan
See-Kiong Ng,"Institute of Data Science and School of Computing, National University of Singapore",See-Kiong Ng,See-Kiong Ng,See-Kiong Ng,See-Kiong Ng,See-Kiong Ng,See-Kiong Ng
Xiaoli Li (李晓黎),"Principal Scientist and Dept Head, Institute for Infocomm Research; Adjunct Professor, NTU",Xiaoli Li (李晓黎),Xiaoli Li (李晓黎),Xiaoli Li (李晓黎),Xiaoli Li (李晓黎),Xiaoli Li (李晓黎),Xiaoli Li (李晓黎)
Gan Tian,"Associate Professor of School of Computer Science and Technology, Shandong University",Gan Tian,Gan Tian,Gan Tian,Gan Tian,Gan Tian,Gan Tian
Shijian Lu,"School of Computer Science and Engineering, NTU",Shijian Lu,Shijian Lu,Shijian Lu,Shijian Lu,Shijian Lu,Shijian Lu
Yuan FANG,"Assistant Professor, School of Computing and Information Systems, Singapore Management University",Yuan FANG,Yuan FANG,Yuan FANG,Yuan FANG,Yuan FANG,Yuan FANG
Jie Lin,"Institute for Infocomm Research, A*STAR, Singapore",Jie Lin,Jie Lin,Jie Lin,Jie Lin,Jie Lin,Jie Lin
Ayellet Tal,"Professor of Electrical & Computer Engineering, Technion",Ayellet Tal,Ayellet Tal,Ayellet Tal,Ayellet Tal,Ayellet Tal,Ayellet Tal
Michal Irani,"Professor of Computer Science, Weizmann Institute",Michal Irani,Michal Irani,Michal Irani,Michal Irani,Michal Irani,Michal Irani
Roey Mechrez,BeyondMinds.ai,Roey Mechrez,Roey Mechrez,Roey Mechrez,Roey Mechrez,Roey Mechrez,Roey Mechrez
Itamar Friedman,Director in Alibaba Group,Itamar Friedman,Itamar Friedman,Itamar Friedman,Itamar Friedman,Itamar Friedman,Itamar Friedman
Asaf Noy,"Senior Research Scientist, Alibaba DAMO Academy",Asaf Noy,Asaf Noy,Asaf Noy,Asaf Noy,Asaf Noy,Asaf Noy
Tal Hassner,Facebook AI,Tal Hassner,Tal Hassner,Tal Hassner,Tal Hassner,Tal Hassner,Tal Hassner
tal ridnik,"senior research scientist, alibaba",tal ridnik,tal ridnik,tal ridnik,tal ridnik,tal ridnik,tal ridnik
Ronen Basri,"Professor of Computer Science, Weizmann Institute of Science",Ronen Basri,Ronen Basri,Ronen Basri,Ronen Basri,Ronen Basri,Ronen Basri
Eli Shechtman,Adobe Research,Eli Shechtman,Eli Shechtman,Eli Shechtman,Eli Shechtman,Eli Shechtman,Eli Shechtman
Dmitry Rudoy,"Technion, Adobe, Samsung, Intel",Dmitry Rudoy,Dmitry Rudoy,Dmitry Rudoy,Dmitry Rudoy,Dmitry Rudoy,Dmitry Rudoy
Tomer Michaeli,"Associate Professor of Electrical and Computer Engineering, Technion",Tomer Michaeli,Tomer Michaeli,Tomer Michaeli,Tomer Michaeli,Tomer Michaeli,Tomer Michaeli
Yonina Eldar,"Math and Computer Science, Weizmann",Yonina Eldar,Yonina Eldar,Yonina Eldar,Yonina Eldar,Yonina Eldar,Yonina Eldar
Firas Shama,"computer vision, deep learning Master student, Technion",Firas Shama,Firas Shama,Firas Shama,Firas Shama,Firas Shama,Firas Shama
Dan B Goldman,"Research Scientist, Google",Dan B Goldman,Dan B Goldman,Dan B Goldman,Dan B Goldman,Dan B Goldman,Dan B Goldman
Gilad Sharir,Alibaba Group,Gilad Sharir,Gilad Sharir,Gilad Sharir,Gilad Sharir,Gilad Sharir,Gilad Sharir
Rong Jin,Alibaba Group,Rong Jin,Rong Jin,Rong Jin,Rong Jin,Rong Jin,Rong Jin
Yochai Blau,Google,Yochai Blau,Yochai Blau,Yochai Blau,Yochai Blau,Yochai Blau,Yochai Blau
Radu Timofte,University of Würzburg & ETH Zurich,Radu Timofte,Radu Timofte,Radu Timofte,Radu Timofte,Radu Timofte,Radu Timofte
E. B. Saff,"Professor of Mathematics, Vanderbilt University",E. B. Saff,E. B. Saff,E. B. Saff,E. B. Saff,E. B. Saff,E. B. Saff
Jürgen Prestin,"Professor für Mathematik, Universität zu Lübeck",Jürgen Prestin,Jürgen Prestin,Jürgen Prestin,Jürgen Prestin,Jürgen Prestin,Jürgen Prestin
J. D. Ward,"Professor of mathematics, Texas A&M University",J. D. Ward,J. D. Ward,J. D. Ward,J. D. Ward,J. D. Ward,J. D. Ward
Brando Miranda,"MIT, UIUC",Brando Miranda,Brando Miranda,Brando Miranda,Brando Miranda,Brando Miranda,Brando Miranda
D.S. Lubinsky,Unknown affiliation,D.S. Lubinsky,D.S. Lubinsky,D.S. Lubinsky,D.S. Lubinsky,D.S. Lubinsky,D.S. Lubinsky
Maria D. van der Walt,"Assistant Professor of Mathematics, Westmont College",Maria D. van der Walt,Maria D. van der Walt,Maria D. van der Walt,Maria D. van der Walt,Maria D. van der Walt,Maria D. van der Walt
Karthik Jayaraman Raghuram,"University of California, Santa Barbara",Karthik Jayaraman Raghuram,Karthik Jayaraman Raghuram,Karthik Jayaraman Raghuram,Karthik Jayaraman Raghuram,Karthik Jayaraman Raghuram,Karthik Jayaraman Raghuram
Mauro Maggioni,Bloomberg Distinguished Professor of Mathematics and Applied Mathematics,Mauro Maggioni,Mauro Maggioni,Mauro Maggioni,Mauro Maggioni,Mauro Maggioni,Mauro Maggioni
ISAAC PESENSON,"Professor of Mathematics, Temple University",ISAAC PESENSON,ISAAC PESENSON,ISAAC PESENSON,ISAAC PESENSON,ISAAC PESENSON,ISAAC PESENSON
Mahadevan Ganesh,Colorado School of Mines,Mahadevan Ganesh,Mahadevan Ganesh,Mahadevan Ganesh,Mahadevan Ganesh,Mahadevan Ganesh,Mahadevan Ganesh
Ian Sloan,"Professor of Mathematics, University of New South Wales (UNSW Australia)",Ian Sloan,Ian Sloan,Ian Sloan,Ian Sloan,Ian Sloan,Ian Sloan
Alexander Cloninger,"Associate Professor, Department of Mathematics & Halicioglu Data Science Institute, UC San Diego",Alexander Cloninger,Alexander Cloninger,Alexander Cloninger,Alexander Cloninger,Alexander Cloninger,Alexander Cloninger
Xiaosheng Zhuang,City University of Hong Kong,Xiaosheng Zhuang,Xiaosheng Zhuang,Xiaosheng Zhuang,Xiaosheng Zhuang,Xiaosheng Zhuang,Xiaosheng Zhuang
Rene Grothmann,Katholische Universität Eichstätt,Rene Grothmann,Rene Grothmann,Rene Grothmann,Rene Grothmann,Rene Grothmann,Rene Grothmann
Narendra GOVIL,"Department of Mathematics and Statistics, Auburn University",Narendra GOVIL,Narendra GOVIL,Narendra GOVIL,Narendra GOVIL,Narendra GOVIL,Narendra GOVIL
Dmitry Batenkov,"Assistant Professor of Applied Mathematics, Tel-Aviv University, Israel",Dmitry Batenkov,Dmitry Batenkov,Dmitry Batenkov,Dmitry Batenkov,Dmitry Batenkov,Dmitry Batenkov
Deb Roy,MIT,Deb Roy,Deb Roy,Deb Roy,Deb Roy,Deb Roy,Deb Roy
Michael C. Frank,"David and Lucile Packard Foundation Professor of Human Biology, Stanford University",Michael C. Frank,Michael C. Frank,Michael C. Frank,Michael C. Frank,Michael C. Frank,Michael C. Frank
Soroush Vosoughi,"Assistant Professor of Computer Science, Dartmouth. Ex Postdoc/PhD at MIT. Ex fellow at Harvard",Soroush Vosoughi,Soroush Vosoughi,Soroush Vosoughi,Soroush Vosoughi,Soroush Vosoughi,Soroush Vosoughi
Roger Levy,"Professor of Brain & Cognitive Sciences, MIT",Roger Levy,Roger Levy,Roger Levy,Roger Levy,Roger Levy,Roger Levy
Stephan Meylan,"MIT, Duke University",Stephan Meylan,Stephan Meylan,Stephan Meylan,Stephan Meylan,Stephan Meylan,Stephan Meylan
Wonjune Kang,Massachusetts Institute of Technology,Wonjune Kang,Wonjune Kang,Wonjune Kang,Wonjune Kang,Wonjune Kang,Wonjune Kang
Martin Saveski,"Postdoc, Stanford University",Martin Saveski,Martin Saveski,Martin Saveski,Martin Saveski,Martin Saveski,Martin Saveski
Sean Ryan Fanello,"Research Scientist and Manager, Google",Sean Ryan Fanello,Sean Ryan Fanello,Sean Ryan Fanello,Sean Ryan Fanello,Sean Ryan Fanello,Sean Ryan Fanello
Giulia Denevi,University of Genoa,Giulia Denevi,Giulia Denevi,Giulia Denevi,Giulia Denevi,Giulia Denevi,Giulia Denevi
Leonard Wossnig,University College London,Leonard Wossnig,Leonard Wossnig,Leonard Wossnig,Leonard Wossnig,Leonard Wossnig,Leonard Wossnig
Andrea Rocchetto,University of Texas at Austin,Andrea Rocchetto,Andrea Rocchetto,Andrea Rocchetto,Andrea Rocchetto,Andrea Rocchetto,Andrea Rocchetto
Giulia Luise,University College London,Giulia Luise,Giulia Luise,Giulia Luise,Giulia Luise,Giulia Luise,Giulia Luise
Simone Severini,AWS/UCL,Simone Severini,Simone Severini,Simone Severini,Simone Severini,Simone Severini,Simone Severini
Ruohan Wang,University College London,Ruohan Wang,Ruohan Wang,Ruohan Wang,Ruohan Wang,Ruohan Wang,Ruohan Wang
Yiannis Demiris,"Professor, Imperial College London; Royal Academy of Engineering Chair In Emerging Technologies",Yiannis Demiris,Yiannis Demiris,Yiannis Demiris,Yiannis Demiris,Yiannis Demiris,Yiannis Demiris
Mark Herbster,University College London,Mark Herbster,Mark Herbster,Mark Herbster,Mark Herbster,Mark Herbster,Mark Herbster
Alessandro Davide Ialongo,University of Cambridge - Max-Planck Institute for Intelligent Systems,Alessandro Davide Ialongo,Alessandro Davide Ialongo,Alessandro Davide Ialongo,Alessandro Davide Ialongo,Alessandro Davide Ialongo,Alessandro Davide Ialongo
Pierluigi Vito Amadori,"Research Associate, Imperial College London",Pierluigi Vito Amadori,Pierluigi Vito Amadori,Pierluigi Vito Amadori,Pierluigi Vito Amadori,Pierluigi Vito Amadori,Pierluigi Vito Amadori
Giacomo Indiveri,"Institute of Neuroinformatics, University of Zurich and ETH Zurich",Giacomo Indiveri,Giacomo Indiveri,Giacomo Indiveri,Giacomo Indiveri,Giacomo Indiveri,Giacomo Indiveri
Tobi Delbruck,"Professor of Physics and Electrical Engineering, ETH Zurich",Tobi Delbruck,Tobi Delbruck,Tobi Delbruck,Tobi Delbruck,Tobi Delbruck,Tobi Delbruck
Elisabetta Chicca,Zernike Institute for Advanced Materials - University of Groningen,Elisabetta Chicca,Elisabetta Chicca,Elisabetta Chicca,Elisabetta Chicca,Elisabetta Chicca,Elisabetta Chicca
Adrian M. Whatley,"Institute of Neuroinformatics, University of Zurich and ETH Zurich",Adrian M. Whatley,Adrian M. Whatley,Adrian M. Whatley,Adrian M. Whatley,Adrian M. Whatley,Adrian M. Whatley
Shih-Chii Liu,"Group Leader, University of Zurich / ETH Zurich",Shih-Chii Liu,Shih-Chii Liu,Shih-Chii Liu,Shih-Chii Liu,Shih-Chii Liu,Shih-Chii Liu
Paul Verschure,"Donders Institute for Brain, Cognition and Behaviour - Centre for Neuroscience (DCN-FNWI)",Paul Verschure,Paul Verschure,Paul Verschure,Paul Verschure,Paul Verschure,Paul Verschure
Colette Dehay,Inserm U846,Colette Dehay,Colette Dehay,Colette Dehay,Colette Dehay,Colette Dehay,Colette Dehay
Richard Hahnloser,"Institute of Neuroinformatics, ETH Zurich and University of Zurich",Richard Hahnloser,Richard Hahnloser,Richard Hahnloser,Richard Hahnloser,Richard Hahnloser,Richard Hahnloser
Henry Kennedy,Stem Cell and Brain Research Institut,Henry Kennedy,Henry Kennedy,Henry Kennedy,Henry Kennedy,Henry Kennedy,Henry Kennedy
Kynan Eng,University of Zurich and ETH Zurich,Kynan Eng,Kynan Eng,Kynan Eng,Kynan Eng,Kynan Eng,Kynan Eng
Emre Neftci,"Institute Director, Forschungszentrum Jülich; Professor, RWTH Aachen; Associate Professor UC Irvine",Emre Neftci,Emre Neftci,Emre Neftci,Emre Neftci,Emre Neftci,Emre Neftci
Matthew Cook,"Institute of Neuroinformatics, University of Zurich and ETH Zurich",Matthew Cook,Matthew Cook,Matthew Cook,Matthew Cook,Matthew Cook,Matthew Cook
Raphael Berner,Sony Advanced Visual Sensing,Raphael Berner,Raphael Berner,Raphael Berner,Raphael Berner,Raphael Berner,Raphael Berner
Wolfgang Maass,"Professor of Computer Science, Graz University of Technology",Wolfgang Maass,Wolfgang Maass,Wolfgang Maass,Wolfgang Maass,Wolfgang Maass,Wolfgang Maass
Frederic Zubler,"Neurology Dpt, University Hospital Bern, Switzerland",Frederic Zubler,Frederic Zubler,Frederic Zubler,Frederic Zubler,Frederic Zubler,Frederic Zubler
Marion Betizeau,"Institute of Neuroinformatics, University Zurich, Switzerland",Marion Betizeau,Marion Betizeau,Marion Betizeau,Marion Betizeau,Marion Betizeau,Marion Betizeau
Jorg Conradt,"EECS, KTH Stockholm, Sweden",Jorg Conradt,Jorg Conradt,Jorg Conradt,Jorg Conradt,Jorg Conradt,Jorg Conradt
Ulysses Bernardet,"Aston University, Birmingham, UK",Ulysses Bernardet,Ulysses Bernardet,Ulysses Bernardet,Ulysses Bernardet,Ulysses Bernardet,Ulysses Bernardet
Christian Wallraven,Korea University,Christian Wallraven,Christian Wallraven,Christian Wallraven,Christian Wallraven,Christian Wallraven,Christian Wallraven
Betty J. Mohler,Amazon,Betty J. Mohler,Betty J. Mohler,Betty J. Mohler,Betty J. Mohler,Betty J. Mohler,Betty J. Mohler
Paolo Robuffo Giordano,CNRS at IRISA and Inria Bretagne Atlantique,Paolo Robuffo Giordano,Paolo Robuffo Giordano,Paolo Robuffo Giordano,Paolo Robuffo Giordano,Paolo Robuffo Giordano,Paolo Robuffo Giordano
Hanspeter A. Mallot,"Professor of Cognitive Neuroscience, Univ. Tübingen",Hanspeter A. Mallot,Hanspeter A. Mallot,Hanspeter A. Mallot,Hanspeter A. Mallot,Hanspeter A. Mallot,Hanspeter A. Mallot
