name,affiliation,home_page,google_profile,keywords,most_cited_paper,cited_by,most_cited_year
Daniela Rus,"Andrew (1956) and Erna Viterbi Professor of Computer Science, MIT",Daniela Rus,Daniela Rus,Daniela Rus,Daniela Rus,Daniela Rus,Daniela Rus
Jimmy Lin,University of Waterloo,Jimmy Lin,Jimmy Lin,Jimmy Lin,Jimmy Lin,Jimmy Lin,Jimmy Lin
Li Fei-Fei,"Professor of Computer Science, Stanford University",Li Fei-Fei,Li Fei-Fei,Li Fei-Fei,Li Fei-Fei,Li Fei-Fei,Li Fei-Fei
Sven Dickinson,"Professor of Computer Science, University of Toronto",Sven Dickinson,Sven Dickinson,Sven Dickinson,Sven Dickinson,Sven Dickinson,Sven Dickinson
Lior Wolf,The School of Computer Science at Tel Aviv University,Lior Wolf,Lior Wolf,Lior Wolf,Lior Wolf,Lior Wolf,Lior Wolf
Michael Jones,"Researcher, MERL",Michael Jones,Michael Jones,Michael Jones,Michael Jones,Michael Jones,Michael Jones
Serge Belongie,"Professor of Computer Science, University of Copenhagen",Serge Belongie,Serge Belongie,Serge Belongie,Serge Belongie,Serge Belongie,Serge Belongie
N. Siddharth,"Reader in Explainable AI, University of Edinburgh",N. Siddharth,N. Siddharth,N. Siddharth,N. Siddharth,N. Siddharth,N. Siddharth
Lorenzo Natale,"Tenured Senior Scientist, Istituto Italiano di Tecnologia",Lorenzo Natale,Lorenzo Natale,Lorenzo Natale,Lorenzo Natale,Lorenzo Natale,Lorenzo Natale
Tobias Gerstenberg,Stanford University,Tobias Gerstenberg,Tobias Gerstenberg,Tobias Gerstenberg,Tobias Gerstenberg,Tobias Gerstenberg,Tobias Gerstenberg
Rob Fergus,"Research Scientist, DeepMind. Professor of Computer Science, New York University",Rob Fergus,Rob Fergus,Rob Fergus,Rob Fergus,Rob Fergus,Rob Fergus
Abraham Bachrach,MIT,Abraham Bachrach,Abraham Bachrach,Abraham Bachrach,Abraham Bachrach,Abraham Bachrach,Abraham Bachrach
Gabriel Kreiman,"Professor, Children's Hospital, Harvard Medical School",Gabriel Kreiman,Gabriel Kreiman,Gabriel Kreiman,Gabriel Kreiman,Gabriel Kreiman,Gabriel Kreiman
Federico Girosi,"Senior Policy Researcher, RAND Corporation",Federico Girosi,Federico Girosi,Federico Girosi,Federico Girosi,Federico Girosi,Federico Girosi
Manfred Fahle,"Professor for Human Neurobiology, Bremen University",Manfred Fahle,Manfred Fahle,Manfred Fahle,Manfred Fahle,Manfred Fahle,Manfred Fahle
Seth Teller,"Professor, MIT EECS / CS & AI Lab",Seth Teller,Seth Teller,Seth Teller,Seth Teller,Seth Teller,Seth Teller
Song Wang,"Professor of Computer Science and Engineering, University of South Carolina",Song Wang,Song Wang,Song Wang,Song Wang,Song Wang,Song Wang
Pratiksha Thaker,Stanford University,Pratiksha Thaker,Pratiksha Thaker,Pratiksha Thaker,Pratiksha Thaker,Pratiksha Thaker,Pratiksha Thaker
Jesse Gray,Harvard Medical School,Jesse Gray,Jesse Gray,Jesse Gray,Jesse Gray,Jesse Gray,Jesse Gray
Stefanie Tellex,Brown University,Stefanie Tellex,Stefanie Tellex,Stefanie Tellex,Stefanie Tellex,Stefanie Tellex,Stefanie Tellex
Martin Hemberg,Brigham and Women's Hospital,Martin Hemberg,Martin Hemberg,Martin Hemberg,Martin Hemberg,Martin Hemberg,Martin Hemberg
